graph_id,source,generator,tier,num_nodes,num_edges,gen_params,layout_algorithm,layout_seed,graph_path,image_path,density,density_bucket,pred_num_vertices,pred_num_edges,abs_edge_error,abs_vertex_error,category,split,ink_fraction,diameter,avg_clustering,is_connected
syn_barabasi_albert_small_0076,synthetic,barabasi_albert,small,24,80,"{""n"": 24, ""m"": 4}",graphviz_sfdp,3165034988,data/raw/synthetic/syn_barabasi_albert_small_0076.graphml,data/images/syn_barabasi_albert_small_0076.png,0.2898550724637681,medium,24,67,13,0,in_distribution_normal,test,0.16575653698979592,3,0.41831471905001316,True
syn_barabasi_albert_large_0032,synthetic,barabasi_albert,large,62,61,"{""n"": 62, ""m"": 1}",graphviz_sfdp,865262527,data/raw/synthetic/syn_barabasi_albert_large_0032.graphml,data/images/syn_barabasi_albert_large_0032.png,0.032258064516129,sparse,52,55,6,10,in_distribution_normal,test,0.13691804846938777,8,0.0,True
syn_barabasi_albert_medium_0005,synthetic,barabasi_albert,medium,28,52,"{""n"": 28, ""m"": 2}",graphviz_sfdp,2497706072,data/raw/synthetic/syn_barabasi_albert_medium_0005.graphml,data/images/syn_barabasi_albert_medium_0005.png,0.1375661375661375,sparse,26,55,3,2,in_distribution_normal,test,0.15082908163265307,4,0.2290513058370201,True
syn_barabasi_albert_tiny_0066,synthetic,barabasi_albert,tiny,6,5,"{""n"": 6, ""m"": 5}",graphviz_sfdp,1140201870,data/raw/synthetic/syn_barabasi_albert_tiny_0066.graphml,data/images/syn_barabasi_albert_tiny_0066.png,0.3333333333333333,medium,6,5,0,0,in_distribution_normal,test,0.11190609056122448,2,0.0,True
syn_barabasi_albert_large_0106,synthetic,barabasi_albert,large,97,372,"{""n"": 97, ""m"": 4}",graphviz_sfdp,3079090286,data/raw/synthetic/syn_barabasi_albert_large_0106.graphml,data/images/syn_barabasi_albert_large_0106.png,0.0798969072164948,sparse,83,322,50,14,in_distribution_normal,test,0.2814094387755102,4,0.1579205684534933,True
syn_barabasi_albert_small_0041,synthetic,barabasi_albert,small,14,45,"{""n"": 14, ""m"": 5}",graphviz_sfdp,2448527486,data/raw/synthetic/syn_barabasi_albert_small_0041.graphml,data/images/syn_barabasi_albert_small_0041.png,0.4945054945054945,dense,14,35,10,0,high_density_clutter,test,0.15214445153061223,3,0.5750000000000001,True
syn_barabasi_albert_small_0018,synthetic,barabasi_albert,small,12,35,"{""n"": 12, ""m"": 5}",graphviz_sfdp,2755973089,data/raw/synthetic/syn_barabasi_albert_small_0018.graphml,data/images/syn_barabasi_albert_small_0018.png,0.5303030303030303,dense,12,31,4,0,high_density_clutter,test,0.14979272959183673,2,0.7777657527657528,True
syn_barabasi_albert_tiny_0024,synthetic,barabasi_albert,tiny,10,24,"{""n"": 10, ""m"": 4}",graphviz_sfdp,2025106947,data/raw/synthetic/syn_barabasi_albert_tiny_0024.graphml,data/images/syn_barabasi_albert_tiny_0024.png,0.5333333333333333,dense,9,25,1,1,high_density_clutter,test,0.14488998724489796,2,0.5195238095238095,True
syn_barabasi_albert_medium_0088,synthetic,barabasi_albert,medium,48,176,"{""n"": 48, ""m"": 4}",graphviz_sfdp,3216871389,data/raw/synthetic/syn_barabasi_albert_medium_0088.graphml,data/images/syn_barabasi_albert_medium_0088.png,0.1560283687943262,medium,48,179,3,0,in_distribution_normal,test,0.21205357142857142,3,0.2606288271913272,True
syn_barabasi_albert_large_0044,synthetic,barabasi_albert,large,54,200,"{""n"": 54, ""m"": 4}",graphviz_sfdp,3844546065,data/raw/synthetic/syn_barabasi_albert_large_0044.graphml,data/images/syn_barabasi_albert_large_0044.png,0.1397624039133473,sparse,51,162,38,3,in_distribution_normal,test,0.2096221301020408,4,0.27210281745661113,True
syn_barabasi_albert_tiny_0093,synthetic,barabasi_albert,tiny,7,12,"{""n"": 7, ""m"": 3}",graphviz_sfdp,2695703475,data/raw/synthetic/syn_barabasi_albert_tiny_0093.graphml,data/images/syn_barabasi_albert_tiny_0093.png,0.5714285714285714,dense,7,10,2,0,high_density_clutter,test,0.12458147321428571,3,0.6523809523809524,True
syn_barabasi_albert_medium_0036,synthetic,barabasi_albert,medium,30,56,"{""n"": 30, ""m"": 2}",graphviz_sfdp,737953458,data/raw/synthetic/syn_barabasi_albert_medium_0036.graphml,data/images/syn_barabasi_albert_medium_0036.png,0.128735632183908,sparse,29,63,7,1,in_distribution_normal,test,0.14963329081632654,4,0.20302308802308802,True
syn_barabasi_albert_small_0068,synthetic,barabasi_albert,small,24,44,"{""n"": 24, ""m"": 2}",graphviz_sfdp,2239883556,data/raw/synthetic/syn_barabasi_albert_small_0068.graphml,data/images/syn_barabasi_albert_small_0068.png,0.1594202898550724,medium,22,44,0,2,in_distribution_normal,test,0.1468231823979592,3,0.4862794476765065,True
syn_barabasi_albert_large_0058,synthetic,barabasi_albert,large,90,344,"{""n"": 90, ""m"": 4}",graphviz_sfdp,3108384157,data/raw/synthetic/syn_barabasi_albert_large_0058.graphml,data/images/syn_barabasi_albert_large_0058.png,0.0858926342072409,sparse,71,268,76,19,in_distribution_normal,test,0.26913265306122447,4,0.17595116436719163,True
syn_barabasi_albert_small_0030,synthetic,barabasi_albert,small,10,16,"{""n"": 10, ""m"": 2}",graphviz_sfdp,988915989,data/raw/synthetic/syn_barabasi_albert_small_0030.graphml,data/images/syn_barabasi_albert_small_0030.png,0.3555555555555555,medium,10,14,2,0,in_distribution_normal,test,0.12892617984693877,3,0.5238095238095238,True
syn_barabasi_albert_large_0024,synthetic,barabasi_albert,large,89,420,"{""n"": 89, ""m"": 5}",graphviz_sfdp,3573682693,data/raw/synthetic/syn_barabasi_albert_large_0024.graphml,data/images/syn_barabasi_albert_large_0024.png,0.1072522982635342,sparse,78,367,53,11,in_distribution_normal,test,0.30408960459183676,4,0.18670738666293535,True
syn_barabasi_albert_tiny_0046,synthetic,barabasi_albert,tiny,6,8,"{""n"": 6, ""m"": 4}",graphviz_sfdp,2397113097,data/raw/synthetic/syn_barabasi_albert_tiny_0046.graphml,data/images/syn_barabasi_albert_tiny_0046.png,0.5333333333333333,dense,7,5,3,1,high_density_clutter,test,0.1153140943877551,2,0.6333333333333333,True
syn_barabasi_albert_small_0023,synthetic,barabasi_albert,small,23,42,"{""n"": 23, ""m"": 2}",graphviz_sfdp,4291973557,data/raw/synthetic/syn_barabasi_albert_small_0023.graphml,data/images/syn_barabasi_albert_small_0023.png,0.1660079051383399,medium,23,51,9,0,in_distribution_normal,test,0.14716198979591838,4,0.134732417341113,True
syn_barabasi_albert_large_0016,synthetic,barabasi_albert,large,88,336,"{""n"": 88, ""m"": 4}",graphviz_sfdp,1979400504,data/raw/synthetic/syn_barabasi_albert_large_0016.graphml,data/images/syn_barabasi_albert_large_0016.png,0.0877742946708464,sparse,90,358,22,2,in_distribution_normal,test,0.28224649234693877,4,0.20882670359207334,True
syn_barabasi_albert_tiny_0058,synthetic,barabasi_albert,tiny,9,20,"{""n"": 9, ""m"": 5}",graphviz_sfdp,875009123,data/raw/synthetic/syn_barabasi_albert_tiny_0058.graphml,data/images/syn_barabasi_albert_tiny_0058.png,0.5555555555555556,dense,9,17,3,0,high_density_clutter,test,0.13277264030612246,3,0.6190476190476191,True
syn_barabasi_albert_small_0067,synthetic,barabasi_albert,small,11,18,"{""n"": 11, ""m"": 2}",graphviz_sfdp,373241495,data/raw/synthetic/syn_barabasi_albert_small_0067.graphml,data/images/syn_barabasi_albert_small_0067.png,0.3272727272727272,medium,11,15,3,0,in_distribution_normal,test,0.13068000637755103,3,0.7532467532467533,True
syn_barabasi_albert_large_0110,synthetic,barabasi_albert,large,51,144,"{""n"": 51, ""m"": 3}",graphviz_sfdp,3590754060,data/raw/synthetic/syn_barabasi_albert_large_0110.graphml,data/images/syn_barabasi_albert_large_0110.png,0.1129411764705882,sparse,51,154,10,0,in_distribution_normal,test,0.19054926658163265,4,0.2955778662939788,True
syn_barabasi_albert_medium_0013,synthetic,barabasi_albert,medium,41,40,"{""n"": 41, ""m"": 1}",graphviz_sfdp,4000414361,data/raw/synthetic/syn_barabasi_albert_medium_0013.graphml,data/images/syn_barabasi_albert_medium_0013.png,0.048780487804878,sparse,37,39,1,4,in_distribution_normal,test,0.13259327168367346,7,0.0,True
syn_barabasi_albert_medium_0066,synthetic,barabasi_albert,medium,32,87,"{""n"": 32, ""m"": 3}",graphviz_sfdp,1278254603,data/raw/synthetic/syn_barabasi_albert_medium_0066.graphml,data/images/syn_barabasi_albert_medium_0066.png,0.1754032258064516,medium,30,101,14,2,in_distribution_normal,test,0.17239317602040816,4,0.25665358946608946,True
syn_barabasi_albert_small_0038,synthetic,barabasi_albert,small,12,32,"{""n"": 12, ""m"": 4}",graphviz_sfdp,4038645800,data/raw/synthetic/syn_barabasi_albert_small_0038.graphml,data/images/syn_barabasi_albert_small_0038.png,0.4848484848484848,dense,11,28,4,1,high_density_clutter,test,0.14359454719387754,3,0.4915343915343915,True
syn_barabasi_albert_tiny_0077,synthetic,barabasi_albert,tiny,9,20,"{""n"": 9, ""m"": 5}",graphviz_sfdp,1478696817,data/raw/synthetic/syn_barabasi_albert_tiny_0077.graphml,data/images/syn_barabasi_albert_tiny_0077.png,0.5555555555555556,dense,9,18,2,0,high_density_clutter,test,0.1346061862244898,2,0.7370370370370369,True
syn_barabasi_albert_large_0017,synthetic,barabasi_albert,large,54,153,"{""n"": 54, ""m"": 3}",graphviz_sfdp,3540671469,data/raw/synthetic/syn_barabasi_albert_large_0017.graphml,data/images/syn_barabasi_albert_large_0017.png,0.1069182389937107,sparse,53,153,0,1,in_distribution_normal,test,0.19256218112244897,4,0.15444024086094948,True
syn_barabasi_albert_small_0051,synthetic,barabasi_albert,small,17,16,"{""n"": 17, ""m"": 1}",graphviz_sfdp,4289368907,data/raw/synthetic/syn_barabasi_albert_small_0051.graphml,data/images/syn_barabasi_albert_small_0051.png,0.1176470588235294,sparse,16,18,2,1,in_distribution_normal,test,0.13071986607142858,5,0.0,True
syn_barabasi_albert_medium_0116,synthetic,barabasi_albert,medium,28,96,"{""n"": 28, ""m"": 4}",graphviz_sfdp,3997762707,data/raw/synthetic/syn_barabasi_albert_medium_0116.graphml,data/images/syn_barabasi_albert_medium_0116.png,0.2539682539682539,medium,27,118,22,1,in_distribution_normal,test,0.1884765625,3,0.3688951921094778,True
syn_barabasi_albert_large_0111,synthetic,barabasi_albert,large,93,270,"{""n"": 93, ""m"": 3}",graphviz_sfdp,1301977884,data/raw/synthetic/syn_barabasi_albert_large_0111.graphml,data/images/syn_barabasi_albert_large_0111.png,0.0631136044880785,sparse,80,255,15,13,in_distribution_normal,test,0.23830117984693877,4,0.18175295573174088,True
syn_barabasi_albert_tiny_0057,synthetic,barabasi_albert,tiny,6,8,"{""n"": 6, ""m"": 4}",graphviz_sfdp,1035023333,data/raw/synthetic/syn_barabasi_albert_tiny_0057.graphml,data/images/syn_barabasi_albert_tiny_0057.png,0.5333333333333333,dense,7,5,3,1,high_density_clutter,test,0.1153140943877551,2,0.6333333333333333,True
syn_barabasi_albert_medium_0071,synthetic,barabasi_albert,medium,36,99,"{""n"": 36, ""m"": 3}",graphviz_sfdp,2381737529,data/raw/synthetic/syn_barabasi_albert_medium_0071.graphml,data/images/syn_barabasi_albert_medium_0071.png,0.1571428571428571,medium,36,121,22,0,in_distribution_normal,test,0.17803332270408162,4,0.2853170586723218,True
syn_barabasi_albert_large_0035,synthetic,barabasi_albert,large,98,465,"{""n"": 98, ""m"": 5}",graphviz_sfdp,173329032,data/raw/synthetic/syn_barabasi_albert_large_0035.graphml,data/images/syn_barabasi_albert_large_0035.png,0.0978329476120345,sparse,79,376,89,19,in_distribution_normal,test,0.32589285714285715,4,0.18640430974110808,True
syn_barabasi_albert_small_0037,synthetic,barabasi_albert,small,25,46,"{""n"": 25, ""m"": 2}",graphviz_sfdp,2682109355,data/raw/synthetic/syn_barabasi_albert_small_0037.graphml,data/images/syn_barabasi_albert_small_0037.png,0.1533333333333333,medium,23,37,9,2,in_distribution_normal,test,0.1390704719387755,5,0.2549206349206349,True
syn_barabasi_albert_small_0065,synthetic,barabasi_albert,small,10,21,"{""n"": 10, ""m"": 3}",graphviz_sfdp,4013450402,data/raw/synthetic/syn_barabasi_albert_small_0065.graphml,data/images/syn_barabasi_albert_small_0065.png,0.4666666666666667,dense,10,23,2,0,high_density_clutter,test,0.14132254464285715,3,0.45,True
syn_barabasi_albert_tiny_0084,synthetic,barabasi_albert,tiny,8,15,"{""n"": 8, ""m"": 3}",graphviz_sfdp,3446780602,data/raw/synthetic/syn_barabasi_albert_tiny_0084.graphml,data/images/syn_barabasi_albert_tiny_0084.png,0.5357142857142857,dense,8,8,7,0,high_density_clutter,test,0.12511957908163265,2,0.6976190476190476,True
syn_barabasi_albert_large_0036,synthetic,barabasi_albert,large,71,268,"{""n"": 71, ""m"": 4}",graphviz_sfdp,3344216766,data/raw/synthetic/syn_barabasi_albert_large_0036.graphml,data/images/syn_barabasi_albert_large_0036.png,0.1078470824949698,sparse,69,279,11,2,in_distribution_normal,test,0.2626155931122449,4,0.1867600120582722,True
syn_barabasi_albert_small_0084,synthetic,barabasi_albert,small,18,65,"{""n"": 18, ""m"": 5}",graphviz_sfdp,3121994450,data/raw/synthetic/syn_barabasi_albert_small_0084.graphml,data/images/syn_barabasi_albert_small_0084.png,0.4248366013071895,dense,17,58,7,1,high_density_clutter,test,0.16930404974489796,3,0.451349884683218,True
syn_barabasi_albert_medium_0058,synthetic,barabasi_albert,medium,34,145,"{""n"": 34, ""m"": 5}",graphviz_sfdp,3461232945,data/raw/synthetic/syn_barabasi_albert_medium_0058.graphml,data/images/syn_barabasi_albert_medium_0058.png,0.2584670231729055,medium,32,137,8,2,in_distribution_normal,test,0.21661750637755103,3,0.38065646963570837,True
syn_barabasi_albert_large_0050,synthetic,barabasi_albert,large,74,345,"{""n"": 74, ""m"": 5}",graphviz_sfdp,951724669,data/raw/synthetic/syn_barabasi_albert_large_0050.graphml,data/images/syn_barabasi_albert_large_0050.png,0.1277304701962236,sparse,67,338,7,7,in_distribution_normal,test,0.30337213010204084,3,0.22544848529839778,True
syn_barabasi_albert_large_0007,synthetic,barabasi_albert,large,80,304,"{""n"": 80, ""m"": 4}",graphviz_sfdp,2477506816,data/raw/synthetic/syn_barabasi_albert_large_0007.graphml,data/images/syn_barabasi_albert_large_0007.png,0.0962025316455696,sparse,78,278,26,2,in_distribution_normal,test,0.2568957270408163,4,0.20470859584592507,True
syn_barabasi_albert_large_0103,synthetic,barabasi_albert,large,95,276,"{""n"": 95, ""m"": 3}",graphviz_sfdp,3268907444,data/raw/synthetic/syn_barabasi_albert_large_0103.graphml,data/images/syn_barabasi_albert_large_0103.png,0.0618141097424412,sparse,83,282,6,12,in_distribution_normal,test,0.23816167091836735,4,0.13424856989008854,True
syn_barabasi_albert_medium_0051,synthetic,barabasi_albert,medium,48,215,"{""n"": 48, ""m"": 5}",graphviz_sfdp,940122541,data/raw/synthetic/syn_barabasi_albert_medium_0051.graphml,data/images/syn_barabasi_albert_medium_0051.png,0.1906028368794326,medium,42,165,50,6,in_distribution_normal,test,0.22269610969387754,3,0.25620791245791247,True
syn_barabasi_albert_medium_0015,synthetic,barabasi_albert,medium,27,50,"{""n"": 27, ""m"": 2}",graphviz_sfdp,2559069245,data/raw/synthetic/syn_barabasi_albert_medium_0015.graphml,data/images/syn_barabasi_albert_medium_0015.png,0.1424501424501424,sparse,26,64,14,1,in_distribution_normal,test,0.14905532525510204,4,0.20758377425044092,True
syn_barabasi_albert_tiny_0106,synthetic,barabasi_albert,tiny,9,8,"{""n"": 9, ""m"": 1}",graphviz_sfdp,439457537,data/raw/synthetic/syn_barabasi_albert_tiny_0106.graphml,data/images/syn_barabasi_albert_tiny_0106.png,0.2222222222222222,medium,9,7,1,0,in_distribution_normal,test,0.12326610331632654,3,0.0,True
syn_barabasi_albert_large_0042,synthetic,barabasi_albert,large,66,189,"{""n"": 66, ""m"": 3}",graphviz_sfdp,1140370588,data/raw/synthetic/syn_barabasi_albert_large_0042.graphml,data/images/syn_barabasi_albert_large_0042.png,0.0881118881118881,sparse,61,175,14,5,in_distribution_normal,test,0.2045001594387755,4,0.20349011752755067,True
syn_barabasi_albert_small_0117,synthetic,barabasi_albert,small,24,23,"{""n"": 24, ""m"": 1}",graphviz_sfdp,3779385845,data/raw/synthetic/syn_barabasi_albert_small_0117.graphml,data/images/syn_barabasi_albert_small_0117.png,0.0833333333333333,sparse,22,24,1,2,in_distribution_normal,test,0.13024154974489796,7,0.0,True
syn_barabasi_albert_large_0023,synthetic,barabasi_albert,large,52,147,"{""n"": 52, ""m"": 3}",graphviz_sfdp,1690075006,data/raw/synthetic/syn_barabasi_albert_large_0023.graphml,data/images/syn_barabasi_albert_large_0023.png,0.1108597285067873,sparse,50,154,7,2,in_distribution_normal,test,0.1944953762755102,4,0.28471621267337377,True
syn_barabasi_albert_small_0026,synthetic,barabasi_albert,small,25,24,"{""n"": 25, ""m"": 1}",graphviz_sfdp,3755831741,data/raw/synthetic/syn_barabasi_albert_small_0026.graphml,data/images/syn_barabasi_albert_small_0026.png,0.08,sparse,25,29,5,0,in_distribution_normal,test,0.1328722895408163,8,0.0,True
syn_barabasi_albert_medium_0039,synthetic,barabasi_albert,medium,48,92,"{""n"": 48, ""m"": 2}",graphviz_sfdp,2095653160,data/raw/synthetic/syn_barabasi_albert_medium_0039.graphml,data/images/syn_barabasi_albert_medium_0039.png,0.0815602836879432,sparse,44,91,1,4,in_distribution_normal,test,0.15800382653061223,5,0.22912289915966386,True
syn_barabasi_albert_small_0071,synthetic,barabasi_albert,small,25,84,"{""n"": 25, ""m"": 4}",graphviz_sfdp,2642303221,data/raw/synthetic/syn_barabasi_albert_small_0071.graphml,data/images/syn_barabasi_albert_small_0071.png,0.28,medium,25,89,5,0,in_distribution_normal,test,0.1797672193877551,3,0.4692536118851908,True
syn_barabasi_albert_small_0054,synthetic,barabasi_albert,small,23,42,"{""n"": 23, ""m"": 2}",graphviz_sfdp,1564917063,data/raw/synthetic/syn_barabasi_albert_small_0054.graphml,data/images/syn_barabasi_albert_small_0054.png,0.1660079051383399,medium,23,41,1,0,in_distribution_normal,test,0.14311623086734693,4,0.2492377188029362,True
syn_barabasi_albert_large_0114,synthetic,barabasi_albert,large,59,114,"{""n"": 59, ""m"": 2}",graphviz_sfdp,2148944210,data/raw/synthetic/syn_barabasi_albert_large_0114.graphml,data/images/syn_barabasi_albert_large_0114.png,0.0666277030976037,sparse,58,130,16,1,in_distribution_normal,test,0.17135682397959184,5,0.22630464723396454,True
syn_barabasi_albert_medium_0113,synthetic,barabasi_albert,medium,34,93,"{""n"": 34, ""m"": 3}",graphviz_sfdp,2094477903,data/raw/synthetic/syn_barabasi_albert_medium_0113.graphml,data/images/syn_barabasi_albert_medium_0113.png,0.1657754010695187,medium,33,101,8,1,in_distribution_normal,test,0.1756218112244898,3,0.32503011214083877,True
syn_barabasi_albert_tiny_0022,synthetic,barabasi_albert,tiny,10,24,"{""n"": 10, ""m"": 4}",graphviz_sfdp,424781599,data/raw/synthetic/syn_barabasi_albert_tiny_0022.graphml,data/images/syn_barabasi_albert_tiny_0022.png,0.5333333333333333,dense,10,26,2,0,high_density_clutter,test,0.14104352678571427,3,0.5828571428571429,True
syn_barabasi_albert_tiny_0063,synthetic,barabasi_albert,tiny,6,9,"{""n"": 6, ""m"": 3}",graphviz_sfdp,3707763941,data/raw/synthetic/syn_barabasi_albert_tiny_0063.graphml,data/images/syn_barabasi_albert_tiny_0063.png,0.6,dense,7,7,2,1,high_density_clutter,test,0.11645009566326531,2,0.6777777777777777,True
syn_barabasi_albert_tiny_0117,synthetic,barabasi_albert,tiny,7,6,"{""n"": 7, ""m"": 1}",graphviz_sfdp,76921121,data/raw/synthetic/syn_barabasi_albert_tiny_0117.graphml,data/images/syn_barabasi_albert_tiny_0117.png,0.2857142857142857,medium,7,5,1,0,in_distribution_normal,test,0.11391900510204081,3,0.0,True
syn_barabasi_albert_large_0015,synthetic,barabasi_albert,large,98,376,"{""n"": 98, ""m"": 4}",graphviz_sfdp,2712367310,data/raw/synthetic/syn_barabasi_albert_large_0015.graphml,data/images/syn_barabasi_albert_large_0015.png,0.0791079318325268,sparse,83,326,50,15,in_distribution_normal,test,0.27501195790816324,4,0.14745956011426958,True
syn_barabasi_albert_medium_0017,synthetic,barabasi_albert,medium,41,180,"{""n"": 41, ""m"": 5}",graphviz_sfdp,2768846140,data/raw/synthetic/syn_barabasi_albert_medium_0017.graphml,data/images/syn_barabasi_albert_medium_0017.png,0.2195121951219512,medium,43,212,32,2,in_distribution_normal,test,0.2242107780612245,3,0.3291782478155755,True
syn_barabasi_albert_medium_0070,synthetic,barabasi_albert,medium,29,28,"{""n"": 29, ""m"": 1}",graphviz_sfdp,3992161559,data/raw/synthetic/syn_barabasi_albert_medium_0070.graphml,data/images/syn_barabasi_albert_medium_0070.png,0.0689655172413793,sparse,28,30,2,1,in_distribution_normal,test,0.12918526785714285,11,0.0,True
syn_barabasi_albert_large_0037,synthetic,barabasi_albert,large,86,328,"{""n"": 86, ""m"": 4}",graphviz_sfdp,2766839065,data/raw/synthetic/syn_barabasi_albert_large_0037.graphml,data/images/syn_barabasi_albert_large_0037.png,0.0897400820793433,sparse,93,452,124,7,in_distribution_normal,test,0.2877670599489796,4,0.17683284242799593,True
syn_barabasi_albert_large_0098,synthetic,barabasi_albert,large,64,63,"{""n"": 64, ""m"": 1}",graphviz_sfdp,503323585,data/raw/synthetic/syn_barabasi_albert_large_0098.graphml,data/images/syn_barabasi_albert_large_0098.png,0.03125,sparse,60,63,0,4,in_distribution_normal,test,0.13671875,8,0.0,True
syn_barabasi_albert_tiny_0075,synthetic,barabasi_albert,tiny,7,12,"{""n"": 7, ""m"": 4}",graphviz_sfdp,2254231775,data/raw/synthetic/syn_barabasi_albert_tiny_0075.graphml,data/images/syn_barabasi_albert_tiny_0075.png,0.5714285714285714,dense,7,8,4,0,high_density_clutter,test,0.12171157525510204,2,0.4857142857142857,True
syn_barabasi_albert_tiny_0087,synthetic,barabasi_albert,tiny,10,9,"{""n"": 10, ""m"": 1}",graphviz_sfdp,569879928,data/raw/synthetic/syn_barabasi_albert_tiny_0087.graphml,data/images/syn_barabasi_albert_tiny_0087.png,0.2,medium,9,7,2,1,in_distribution_normal,test,0.12364477040816327,4,0.0,True
syn_barabasi_albert_medium_0012,synthetic,barabasi_albert,medium,32,135,"{""n"": 32, ""m"": 5}",graphviz_sfdp,2942359941,data/raw/synthetic/syn_barabasi_albert_medium_0012.graphml,data/images/syn_barabasi_albert_medium_0012.png,0.2721774193548387,medium,31,131,4,1,in_distribution_normal,test,0.19724569515306123,3,0.2943479773902568,True
syn_dense_large_0060,synthetic,dense,large,69,1006,"{""n"": 69, ""p"": 0.4225822701143293}",graphviz_sfdp,1458819745,data/raw/synthetic/syn_dense_large_0060.graphml,data/images/syn_dense_large_0060.png,0.4288150042625746,dense,70,1065,59,1,high_density_clutter,test,0.5500239158163265,2,0.42560424817739717,True
syn_dense_tiny_0112,synthetic,dense,tiny,10,19,"{""n"": 10, ""p"": 0.45417002989412913}",graphviz_sfdp,2113393386,data/raw/synthetic/syn_dense_tiny_0112.graphml,data/images/syn_dense_tiny_0112.png,0.4222222222222222,dense,10,19,0,0,high_density_clutter,test,0.13356983418367346,4,0.39666666666666667,True
syn_dense_tiny_0098,synthetic,dense,tiny,7,13,"{""n"": 7, ""p"": 0.5615495921153787}",graphviz_sfdp,762939453,data/raw/synthetic/syn_dense_tiny_0098.graphml,data/images/syn_dense_tiny_0098.png,0.6190476190476191,dense,7,8,5,0,high_density_clutter,test,0.12396364795918367,2,0.7047619047619048,True
syn_dense_large_0055,synthetic,dense,large,85,2415,"{""n"": 85, ""p"": 0.6772243350136743}",graphviz_sfdp,3633274715,data/raw/synthetic/syn_dense_large_0055.graphml,data/images/syn_dense_large_0055.png,0.6764705882352942,dense,94,2061,354,9,high_density_clutter,test,0.6127431441326531,2,0.67467463455131,True
